frame,idx,name,posX,posY,posZ,velX,velY,velZ,speed,omegaX,omegaY,omegaZ,omegaMag,grounded
9,4,,700.7183,234.6454,464.8834,-15.3818,-18.1303,-1.4000,23.8174,-2.1366,1.9444,4.0810,5.0000,0
9,5,,554.7397,323.8950,663.1837,8.8750,8.8646,2.2031,12.7358,2.0179,-2.0645,4.0824,5.0000,0
9,6,,792.8920,265.2878,482.3690,-1.2959,-10.4218,4.4286,11.3976,-4.0790,2.1856,1.8934,5.0000,0
9,7,,401.0754,164.1658,689.0651,12.9062,0.1146,12.7812,18.1644,-3.5226,0.0258,3.5484,5.0000,0
9,8,,722.5988,185.7218,604.1284,7.1882,6.7863,-10.4588,14.3914,-0.0976,3.4857,3.5833,5.0000,0
9,9,,646.5477,120.5455,662.9402,-5.4302,-7.3295,-0.7209,9.1503,-2.5484,4.0363,1.4879,5.0000,0
9,10,,544.4031,257.8403,602.8389,-7.1667,8.2083,-1.9306,11.0664,-4.0825,-2.0467,2.0358,5.0000,0
9,11,,791.6921,192.7184,565.5701,8.3043,-5.2536,6.8406,11.9731,-2.1362,-4.0810,1.9448,5.0000,0
9,12,,636.7650,210.5410,689.3488,-2.8182,-7.3826,-7.8182,11.1161,3.3804,-3.6725,0.2921,5.0000,0
9,13,,792.1809,301.6830,479.6078,-9.8293,6.3211,-4.7073,12.5988,-2.9354,-0.9895,3.9248,5.0000,0
9,14,,734.2053,128.7369,732.1267,-9.5385,-17.0321,13.5192,23.7454,0.1017,3.5853,3.4836,5.0000,0
9,15,,596.0680,262.1870,417.1086,-11.1860,-11.6318,1.3023,16.1902,2.5831,-3.9590,1.6292,5.0000,0
9,16,,629.3176,139.4603,661.9337,-8.1852,3.6481,-12.7963,15.6221,3.8799,3.1478,-0.1945,5.0000,0
9,17,,497.9869,274.0049,484.1159,11.8442,-1.8160,-10.6104,16.0051,-1.7656,-4.2069,-2.0457,5.0000,0
9,18,,777.8356,123.9170,539.8556,10.0282,-14.8709,-13.7324,22.5895,0.5993,-4.1216,2.7664,5.0000,0
9,19,,582.0692,143.0543,628.8855,-11.1698,-13.2233,-13.3774,21.8763,-0.5880,-3.6549,3.3610,5.0000,0
10,0,,573.4431,248.5104,667.9439,-16.9821,-18.3333,-11.5179,27.5166,-3.1459,0.6803,3.8263,5.0000,0
10,1,,787.8892,311.8203,751.7332,-1.2105,-4.0439,8.0000,9.0453,3.3946,3.6614,0.2668,5.0000,0
10,2,,488.3488,293.8976,705.4743,3.8041,-14.1091,-5.7320,15.6969,-1.1276,-2.8342,3.9618,5.0000,0
10,3,,735.3391,334.9785,531.1171,3.6986,-13.2272,-9.6301,16.7743,-3.9464,-2.8784,1.0680,5.0000,0
10,4,,700.5901,234.4908,464.8718,-15.3818,-18.5470,-1.4000,24.1361,-2.1366,1.9444,4.0810,5.0000,0
10,5,,554.8137,323.9654,663.2021,8.8750,8.4479,2.2031,12.4494,2.0179,-2.0645,4.0824,5.0000,0
10,6,,792.8812,265.1974,482.4059,-1.2959,-10.8384,4.4286,11.7798,-4.0790,2.1856,1.8934,5.0000,0
10,7,,401.1830,164.1633,689.1716,12.9062,-0.3021,12.7812,18.1665,-3.5226,0.0258,3.5484,5.0000,0
10,8,,722.6586,185.7749,604.0413,7.1882,6.3696,-10.4588,14.1996,-0.0976,3.4857,3.5833,5.0000,0
10,9,,646.5025,120.4809,662.9342,-5.4302,-7.7461,-0.7209,9.4873,-2.5484,4.0363,1.4879,5.0000,0
10,10,,544.3434,257.9052,602.8228,-7.1667,7.7917,-1.9306,10.7610,-4.0825,-2.0467,2.0358,5.0000,0
