frame,idx,name,posX,posY,posZ,velX,velY,velZ,speed,omegaX,omegaY,omegaZ,omegaMag,qX,qY,qZ,qW,grounded,sleeping,sleepInhibited,sleepCounter,islandRoot,bodyEligible,islandEligible,topologyStable,islandCanSleep,contactRows,maxPenetration,maxSeparationBias,maxClosingSpeed,maxSlipSpeed,maxImpulse,resetReason
14,0,chaos_a,-53.6011,100.0000,-9.4873,11.3584,0.0000,-11.8074,16.3838,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
14,1,chaos_b,41.2195,100.0000,16.7678,-6.4626,0.0000,14.2690,15.6643,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,1,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
14,2,chaos_c,3.6491,100.0000,56.9504,-2.6297,0.0000,-8.7501,9.1367,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
15,0,chaos_a,-53.5063,100.0000,-9.5856,11.3824,0.0000,-11.7940,16.3908,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
15,1,chaos_b,41.1654,100.0000,16.8869,-6.4948,0.0000,14.2874,15.6943,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,1,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
15,2,chaos_c,3.6274,100.0000,56.8771,-2.6028,0.0000,-8.8015,9.1783,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
16,0,chaos_a,-53.4112,100.0000,-9.6838,11.4065,0.0000,-11.7805,16.3978,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
16,1,chaos_b,41.1110,100.0000,17.0061,-6.5271,0.0000,14.3057,15.7244,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,1,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
16,2,chaos_c,3.6059,100.0000,56.8033,-2.5756,0.0000,-8.8532,9.2202,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
17,0,chaos_a,-53.3160,100.0000,-9.7818,11.4306,0.0000,-11.7670,16.4049,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
